istaigos_kodas;ataskaitinio_laikotarpio_pradzia;ataskaitinio_laikotarpio_pabaiga;gydytojo_id;prisirasiusiu_gyventoju_sk;darbo_valandu_kiekis;iraso_sukurimo_data
302692454;2021-04-01;2021-06-30;10000018;734;130;2021-07-12 17:35:10
302692454;2021-04-01;2021-06-30;10000041;1442;375;2021-07-12 17:35:10
302692454;2021-04-01;2021-06-30;10000069;1399;174;2021-07-12 17:35:10
302692454;2021-04-01;2021-06-30;10000225;1395;404;2021-07-12 17:35:10
302692454;2021-04-01;2021-06-30;10000279;1427;406;2021-07-12 17:35:10
302692454;2021-04-01;2021-06-30;10000289;749;214;2021-07-12 17:35:10
302692454;2021-04-01;2021-06-30;10000292;1055;244;2021-07-12 17:35:10
302692454;2021-04-01;2021-06-30;10000293;1448;387;2021-07-12 17:35:10
302692454;2021-04-01;2021-06-30;10000297;1415;294;2021-07-12 17:35:10
302692454;2021-04-01;2021-06-30;10000313;0;98;2021-07-12 17:35:10
